"Info Type"	Frequency	"Group ID"
"Profile Info"	0.857142857143	1
"Friend"	0.857142857143	1
"Like / Interest"	0.857142857143	1
"Check-in"	0.857142857143	1
"Status Update"	0.857142857143	1
"Photo Album"	0.857142857143	1
"Photo"	0.857142857143	1
"Profile Info"	0.411764705882	1
"Friend"	0.411764705882	1
"Like / Interest"	0.411764705882	1
"Check-in"	0.411764705882	1
"Status Update"	0.411764705882	1
"Photo Album"	0.411764705882	1
"Photo"	0.411764705882	1
"Profile Info"	0.714285714286	2
"Friend"	0.714285714286	2
"Like / Interest"	0.714285714286	2
"Check-in"	0.714285714286	2
"Status Update"	0.714285714286	2
"Photo Album"	0.714285714286	2
"Photo"	0.714285714286	2
"Profile Info"	0.571428571429	1
"Friend"	0.571428571429	1
"Like / Interest"	0.571428571429	1
"Check-in"	0.571428571429	1
"Status Update"	0.571428571429	1
"Photo Album"	0.571428571429	1
"Photo"	0.571428571429	1
"Profile Info"	0.428571428571	2
"Friend"	0.428571428571	2
"Like / Interest"	0.428571428571	2
"Check-in"	0.428571428571	2
"Status Update"	0.428571428571	2
"Photo Album"	0.428571428571	2
"Photo"	0.428571428571	2
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	0.882352941176	1
"Friend"	0.882352941176	1
"Like / Interest"	0.882352941176	1
"Check-in"	0.882352941176	1
"Status Update"	0.882352941176	1
"Photo Album"	0.882352941176	1
"Photo"	0.882352941176	1
"Profile Info"	0.9	2
"Friend"	0.9	2
"Like / Interest"	0.9	2
"Check-in"	0.9	2
"Status Update"	0.9	2
"Photo Album"	0.9	2
"Photo"	0.9	2
"Profile Info"	0.875	1
"Friend"	0.875	1
"Like / Interest"	0.875	1
"Check-in"	0.875	1
"Status Update"	0.875	1
"Photo Album"	0.875	1
"Photo"	0.875	1
"Profile Info"	0.6875	1
"Friend"	0.6875	1
"Like / Interest"	0.6875	1
"Check-in"	0.6875	1
"Status Update"	0.6875	1
"Photo Album"	0.6875	1
"Photo"	0.6875	1
"Profile Info"	0.666666666667	2
"Friend"	0.666666666667	2
"Like / Interest"	0.666666666667	2
"Check-in"	0.666666666667	2
"Status Update"	0.666666666667	2
"Photo Album"	0.666666666667	2
"Photo"	0.666666666667	2
"Profile Info"	0.571428571429	2
"Friend"	0.571428571429	2
"Like / Interest"	0.571428571429	2
"Check-in"	0.571428571429	2
"Status Update"	0.571428571429	2
"Photo Album"	0.571428571429	2
"Photo"	0.571428571429	2
"Profile Info"	0	2
"Friend"	0	2
"Like / Interest"	0	2
"Check-in"	0	2
"Status Update"	0	2
"Photo Album"	0	2
"Photo"	0	2
"Profile Info"	0.714285714286	1
"Friend"	0.714285714286	1
"Like / Interest"	0.714285714286	1
"Check-in"	0.714285714286	1
"Status Update"	0.714285714286	1
"Photo Album"	0.714285714286	1
"Photo"	0.714285714286	1
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	0.928571428571	1
"Friend"	0.928571428571	1
"Like / Interest"	0.928571428571	1
"Check-in"	0.928571428571	1
"Status Update"	0.928571428571	1
"Photo Album"	0.928571428571	1
"Photo"	0.928571428571	1
"Profile Info"	0.941176470588	1
"Friend"	0.941176470588	1
"Like / Interest"	0.941176470588	1
"Check-in"	0.941176470588	1
"Status Update"	0.941176470588	1
"Photo Album"	0.941176470588	1
"Photo"	0.941176470588	1
"Profile Info"	0.714285714286	1
"Friend"	0.714285714286	1
"Like / Interest"	0.714285714286	1
"Check-in"	0.714285714286	1
"Status Update"	0.714285714286	1
"Photo Album"	0.714285714286	1
"Photo"	0.714285714286	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	0.333333333333	1
"Friend"	0.333333333333	1
"Like / Interest"	0.333333333333	1
"Check-in"	0.333333333333	1
"Status Update"	0.333333333333	1
"Photo Album"	0.333333333333	1
"Photo"	0.333333333333	1
"Profile Info"	0.857142857143	2
"Friend"	0.857142857143	2
"Like / Interest"	0.857142857143	2
"Check-in"	0.857142857143	2
"Status Update"	0.857142857143	2
"Photo Album"	0.857142857143	2
"Photo"	0.857142857143	2
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	0.533333333333	1
"Friend"	0.533333333333	1
"Like / Interest"	0.533333333333	1
"Check-in"	0.533333333333	1
"Status Update"	0.533333333333	1
"Photo Album"	0.533333333333	1
"Photo"	0.533333333333	1
"Profile Info"	0.894736842105	2
"Friend"	0.894736842105	2
"Like / Interest"	0.894736842105	2
"Check-in"	0.894736842105	2
"Status Update"	0.894736842105	2
"Photo Album"	0.894736842105	2
"Photo"	0.894736842105	2
"Profile Info"	0.952380952381	2
"Friend"	0.952380952381	2
"Like / Interest"	0.952380952381	2
"Check-in"	0.952380952381	2
"Status Update"	0.952380952381	2
"Photo Album"	0.952380952381	2
"Photo"	0.952380952381	2
"Profile Info"	0.529411764706	1
"Friend"	0.529411764706	1
"Like / Interest"	0.529411764706	1
"Check-in"	0.529411764706	1
"Status Update"	0.529411764706	1
"Photo Album"	0.529411764706	1
"Photo"	0.529411764706	1
"Profile Info"	0.857142857143	2
"Friend"	0.857142857143	2
"Like / Interest"	0.857142857143	2
"Check-in"	0.857142857143	2
"Status Update"	0.857142857143	2
"Photo Album"	0.857142857143	2
"Photo"	0.857142857143	2
"Profile Info"	0.9375	1
"Friend"	0.9375	1
"Like / Interest"	0.9375	1
"Check-in"	0.9375	1
"Status Update"	0.9375	1
"Photo Album"	0.9375	1
"Photo"	0.9375	1
"Profile Info"	0.47619047619	1
"Friend"	0.47619047619	1
"Like / Interest"	0.47619047619	1
"Check-in"	0.47619047619	1
"Status Update"	0.47619047619	1
"Photo Album"	0.47619047619	1
"Photo"	0.47619047619	1
"Profile Info"	0.875	1
"Friend"	0.875	1
"Like / Interest"	0.875	1
"Check-in"	0.875	1
"Status Update"	0.875	1
"Photo Album"	0.875	1
"Photo"	0.875	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	0.619047619048	1
"Friend"	0.619047619048	1
"Like / Interest"	0.619047619048	1
"Check-in"	0.619047619048	1
"Status Update"	0.619047619048	1
"Photo Album"	0.619047619048	1
"Photo"	0.619047619048	1
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
"Status Update"	1	1
"Photo Album"	1	1
"Photo"	1	1
"Profile Info"	1	2
"Friend"	1	2
"Like / Interest"	1	2
"Check-in"	1	2
"Status Update"	1	2
"Photo Album"	1	2
"Photo"	1	2
"Profile Info"	1	1
"Friend"	1	1
"Like / Interest"	1	1
"Check-in"	1	1
